"Day","ID_experiment","Sequence_order","Sequence","Minute","N","P","Fish_number","Fish_biomass","total_bites_trial","Total_bites_minute","fish_eating_minute","initial_weight","control_before","control_after","final_weight","A_cons_tot","A_cons_min","C","P_biomass_kg_m2"
"17/06/2019",5,"5_4_2_1_3",3,1,0.126,0.084,50,5330,252,81,15,75.57,75.64,52.11,48.94,18.345971708091,5.89691947760066,0.393127965173378,0.009
"17/06/2019",5,"5_4_2_1_3",3,2,0.126,0.084,50,5330,252,21,4,75.57,75.64,52.11,48.94,18.345971708091,1.52883097567425,0.382207743918561,0.009
"17/06/2019",5,"5_4_2_1_3",3,3,0.126,0.084,50,5330,252,16,4,75.57,75.64,52.11,48.94,18.345971708091,1.16482360051371,0.291205900128428,0.009
"17/06/2019",5,"5_4_2_1_3",3,4,0.126,0.084,50,5330,252,24,6,75.57,75.64,52.11,48.94,18.345971708091,1.74723540077057,0.291205900128428,0.009
"17/06/2019",5,"5_4_2_1_3",3,5,0.126,0.084,50,5330,252,13,3,75.57,75.64,52.11,48.94,18.345971708091,0.94641917541739,0.315473058472463,0.009
"17/06/2019",5,"5_4_2_1_3",3,6,0.126,0.084,50,5330,252,8,2,75.57,75.64,52.11,48.94,18.345971708091,0.582411800256856,0.291205900128428,0.009
"17/06/2019",5,"5_4_2_1_3",3,7,0.126,0.084,50,5330,252,17,4,75.57,75.64,52.11,48.94,18.345971708091,1.23762507554582,0.309406268886455,0.009
"17/06/2019",5,"5_4_2_1_3",3,8,0.126,0.084,50,5330,252,3,1,75.57,75.64,52.11,48.94,18.345971708091,0.218404425096321,0.218404425096321,0.009
"17/06/2019",5,"5_4_2_1_3",3,9,0.126,0.084,50,5330,252,6,2,75.57,75.64,52.11,48.94,18.345971708091,0.436808850192642,0.218404425096321,0.009
"17/06/2019",5,"5_4_2_1_3",3,10,0.126,0.084,50,5330,252,20,1,75.57,75.64,52.11,48.94,18.345971708091,1.45602950064214,1.45602950064214,0.009
"17/06/2019",5,"5_4_2_1_3",3,11,0.126,0.084,50,5330,252,10,3,75.57,75.64,52.11,48.94,18.345971708091,0.72801475032107,0.242671583440357,0.009
"17/06/2019",5,"5_4_2_1_3",3,12,0.126,0.084,50,5330,252,0,0,75.57,75.64,52.11,48.94,18.345971708091,0,0,0.009
"17/06/2019",5,"5_4_2_1_3",3,13,0.126,0.084,50,5330,252,20,1,75.57,75.64,52.11,48.94,18.345971708091,1.45602950064214,1.45602950064214,0.009
"17/06/2019",5,"5_4_2_1_3",3,14,0.126,0.084,50,5330,252,0,0,75.57,75.64,52.11,48.94,18.345971708091,0,0,0.009
"17/06/2019",5,"5_4_2_1_3",3,15,0.126,0.084,50,5330,252,13,1,75.57,75.64,52.11,48.94,18.345971708091,0.94641917541739,0.94641917541739,0.009
"14/06/2019",6,"5_3_1_4_2",5,1,0.025,0.106,63,8814,275,79,19,15.73,15.37,12.86,6.27,7.91513337670787,2.27380195185426,0.119673786939698,0.0148
